name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/southampton/richmond-select-botley-10034322,"£12,673",18561,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/somerset/radstock/drive-green-10011240,"£9,595",74969,109,Automatic,Electric,,Hatchback,ULEZ,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/london/ip-motors-ltd-743462,"£11,650",18820,,Automatic,Electric,3,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/essex/romford/tdi-autos-7552,"£10,680",39222,,Automatic,Electric,4,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/west-drayton/automatic-motors-ltd-10008535,"£11,290",47400,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/uxbridge/west-motors-1051278,"£11,400",43445,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/berkshire/wokingham/wokingham-trade-centre-10034667,"£9,894",75000,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/essex/grays/fusion-motors-ltd-10019605,"£10,500",69002,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/reading/padworth/anchor-cars-10005564,"£10,795",42000,,Automatic,Electric,3,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/nottinghamshire/nottingham/nottingham-renault-2447800,"£10,499",48450,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/nottinghamshire/nottingham/nottingham-renault-2447800,"£12,499",31000,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf Hatchback,https://www.autotrader.co.uk/dealers/staffordshire/burton-on-trent/bravoauto-burton-10012161,"£11,369",30428,,Automatic,Electric,4,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/marshall-approved-used-direct-sales-10033840,"£11,900",40535,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/gloucestershire/gloucester/car-store-gloucester-10007950,"£11,500",32500,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/stanmore/london-carrz-10026080,"£10,995",22181,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/west-midlands/wolverhampton/evans-halshaw-vauxhall-wolverhampton-11040,"£13,010",38289,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/cambridgeshire/peterborough/smiths-nissan-peterborough-20055,"£11,800",34359,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£8,780",53560,,Automatic,Electric,5,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/lymington/woods-new-forest-ltd-10002471,"£12,995",64000,,Automatic,Electric,2,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£10,500",44371,,Automatic,Electric,4,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/staffordshire/stoke-on-trent/lawson-motor-company-10217,"£12,490",36000,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/west-midlands/willenhall/carcart-limited-10009428,"£9,990",75629,,Automatic,Electric,2,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/derbyshire/derby/hilton-garage-ltd-4400,"£13,550",35000,109,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£10,699",58000,,Automatic,Electric,3,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/blackburn/h-m-motors-10028887,"£9,890",76000,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/devon/plymouth/plympton-car-centre-plymouth-ltd-129188,"£11,799",51000,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/cheshire/winsford/fords-of-winsford-car-supermarket-2564,"£11,299",56330,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/preston/morley-car-sales-153408,"£9,795",96560,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/somerset/radstock/drive-green-10011240,"£10,495",40174,107,Automatic,Electric,4,Hatchback,ULEZ,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£10,990",54680,,Automatic,Electric,2,Hatchback,,,2015 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/devon/plymouth/plympton-car-centre-plymouth-ltd-129188,"£12,000",57000,,Automatic,Electric,3,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/burnley/autobarn-motor-company-ltd-10034347,"£10,790",52704,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
