name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan X-Trail,https://www.autotrader.co.uk/dealers/gloucestershire/bristol/mbs-automotive-10033059,"£2,749",118000,136,Manual,Diesel,9,SUV,,2.2L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/northamptonshire/wellingborough/sfs-cars-14059,"£4,495",107000,,Automatic,Diesel,,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/yorkshire/sheffield/sheffield-street-motors-10019508,"£4,995",53000,165,Automatic,Petrol,,SUV,ULEZ,2.5L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/cheshire/cheadle/mak-automobiles-limited-10008675,"£4,490",78000,,Manual,Diesel,2,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-midlands/birmingham/asu-cars-limited-678768,"£3,785",127992,170,Manual,Diesel,3,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/devon/brixham/mtm-motors-cumbers-garage-limited-18440,"£5,500",66470,,Manual,Diesel,5,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/staffordshire/tamworth/a5-automotive-tamworth-ltd-706805,"£3,989",117000,,Automatic,Diesel,,SUV,,2.0L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£4,650",134947,,Automatic,Petrol,,SUV,ULEZ,2.5L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/lancashire/preston/we-sell-any-auto-10017866,"£5,790",84000,,Automatic,Diesel,,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,295",123131,165,Automatic,Petrol,3,SUV,ULEZ,2.5L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/reigate/reigate-motors-10021986,"£3,750",89408,165,Automatic,Petrol,,SUV,ULEZ,2.5L,2007 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/county-durham/seaham/d-h-car-sales-417130,"£2,499",99000,,Manual,Diesel,9,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,595",122017,,Manual,Diesel,3,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/kent/tonbridge/claremont-motors-10033279,"£4,200",101394,,Manual,Diesel,3,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,990",102000,,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,430",116000,,Manual,Diesel,2,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/the-car-shop-bedford-10025439,"£4,450",94000,,Manual,Diesel,3,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/staffordshire/tamworth/r-j-d-cars-473271,"£3,494",155000,,Manual,Diesel,4,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/leicestershire/leicester/leicester-car-centre-ltd-805347,"£3,950",110000,,Automatic,Diesel,5,SUV,,2.0L,2008 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/berkshire/wokingham/wokingham-cars-ltd-10016614,"£6,995",72880,,Automatic,Petrol,2,SUV,ULEZ,2.5L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,049",121917,,Manual,Diesel,2,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/herefordshire/hereford/tmd-motors-1069822,"£4,995",87000,,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-yorkshire/huddersfield/p-w-motor-co-12201,"£2,495",115000,,Manual,Diesel,3,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,300",149765,,Automatic,Diesel,2,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-yorkshire/bradford/west-yorkshire-car-sales-10034200,"£3,795",114000,,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,000",139450,,Automatic,Diesel,5,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/northamptonshire/peterborough/elderwood-motors-ltd-10026946,"£4,490",105000,,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,300",153000,,Manual,Diesel,4,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,799",112000,,Manual,Diesel,2,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/suffolk/stowmarket/cranford-motors-10015009,"£5,754",86600,171,Manual,Diesel,4,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/lancashire/rochdale/the-car-corner-ltd-10004699,"£4,795",97500,,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/lancashire/rochdale/the-car-corner-ltd-10004699,"£3,995",133000,,Manual,Diesel,3,SUV,,2.0L,2008 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-midlands/west-bromwich/auto-hub-trading-ltd-10033312,"£2,490",148923,,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/middlesex/brentford/k1-motors-ltd-10008806,"£3,998",109000,,Manual,Diesel,,SUV,,2.0L,2008 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/worcestershire/droitwich/godfrey-sports-performance-10017968,"£3,999",100000,,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/wiltshire/swindon/sn4-cars-10010337,"£6,246",78000,,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-yorkshire/dewsbury/highgrove-motors-10009705,"£4,995",77000,,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
