name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Navara,https://www.autotrader.co.uk/dealers/gloucestershire/bristol/bristol-trusted-vans-10029379,"£8,990",119768,,Manual,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/nottinghamshire/farnsfield-/rufford-garage-658088,"£8,994",115726,,Manual,Diesel,3,Pickup,,2.5L,2011 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/east-sussex/st-leonards-on-sea/oak-grove-used-cars-10029135,"£6,750",143000,,Manual,Diesel,,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/suffolk/ipswich/green-ace-garage-ltd-14125,"£8,500",110000,,Manual,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/suffolk/bury-st-edmunds/van-master-582368,"£9,180",120000,,Manual,Diesel,2,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,600",121785,,Manual,Diesel,3,Pickup,,2.5L,2011 (60 reg)
Nissan Navara,https://www.autotrader.co.uk,"£11,500",78650,,Automatic,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/praters-10003215,"£9,750",118000,,Manual,Diesel,2,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/preston/gs-car-centre-10024226,"£12,600",63000,,Automatic,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/priory-cars-10031049,"£12,750",53000,,Manual,Diesel,,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk,"£8,000",86000,,Automatic,Diesel,4,Pickup,,2.5L,2011 (11 reg)
